date,title,sentiment,true_price,pred_price
2021-04-15,"Bitcoin Climbs Above $50,000 After Coinbase IPO",-9.49,63056.61,25666.77474975586
2021-04-15,"Bitcoin Climbs Above $50,000 After Coinbase IPO",-9.49,63056.61,25814.48245048523
2021-04-15,"Bitcoin Climbs Above $50,000 After Coinbase IPO",-9.49,63056.61,26028.32078933716
2021-02-08,"Tesla Buys $1.5 Billion in Bitcoin, Plans to Accept It as Payment",-9.19,38076.06,24593.17934513092
2021-02-21,"Bitcoin Hits New All-Time High Above $58,000",-9.33,56505.22,26090.66379070282
2021-03-13,"Bitcoin Breaks $60,000 for the First Time Ever",-9.49,56694.32,27814.08512592316
2021-04-14,Coinbase Goes Public in Landmark Direct Listing,-9.14,63749.19,28658.430218696594
2021-04-14,"Bitcoin Hits Record High Near $65,000",-9.5,63749.19,30266.254663467407
